employee_id,review_period,team,manager_id,role_level,review_date,performance_score,potential_rating,9box_classification,competency_communication,competency_initiative,competency_teamwork,competency_execution,competency_problem_solving,peer_feedback_score,promotion_recommended,promotion_granted,calibration_rating,goals_completed_pct,leadership_score,tenure_at_review_months
E1037,2023-H1,HR,M26,IC3,2023-01-01,3.81,Medium,Consistent Star,2.49,4.01,4.78,2.46,3.36,3.44,False,False,Meets,0.88,,28
E1037,2023-H2,HR,M26,IC3,2023-06-30,4.97,Medium,Underperformer,3.69,4.57,3.59,3.73,3.66,4.23,False,False,Meets,0.69,,28
E1037,2024-H1,HR,M26,Director,2024-01-01,4.07,Medium,Consistent Star,2.88,3.36,3.18,3.54,3.34,4.18,False,False,Meets,0.62,2.29,28
E1037,2024-H2,HR,M26,Manager,2024-06-29,2.55,Medium,Underperformer,4.0,3.02,3.7,3.35,3.91,3.36,False,False,Meets,1.0,4.83,28
E1038,2023-H1,Engineering,M1,Manager,2023-01-01,3.28,Medium,Underperformer,3.27,5.0,2.96,3.47,3.51,3.5,True,True,Meets,0.49,3.85,33
E1038,2023-H2,Engineering,M1,IC3,2023-06-30,2.82,High,Core Player,4.22,2.77,3.53,2.39,2.42,3.0,False,False,Meets,0.65,,33
E1038,2024-H1,Engineering,M1,IC3,2024-01-01,4.53,Medium,Core Player,3.48,4.15,3.31,3.8,3.14,3.02,False,False,Meets,0.48,,33
E1038,2024-H2,Engineering,M1,IC2,2024-06-29,3.74,Low,High Potential,3.63,3.89,3.61,4.51,3.59,4.1,False,False,Exceeds,0.7,,33
E1039,2023-H1,Product,M18,IC2,2023-01-01,2.86,Medium,Consistent Star,3.86,3.46,3.92,3.68,3.1,4.14,False,False,Meets,0.62,,77
E1039,2023-H2,Product,M18,IC3,2023-06-30,3.94,Medium,Core Player,4.14,3.31,4.08,3.7,3.93,3.0,False,False,Meets,0.78,,77
E1039,2024-H1,Product,M18,IC3,2024-01-01,2.51,Medium,Underperformer,4.36,2.49,3.32,3.03,3.84,4.65,False,False,Meets,0.85,,77
E1039,2024-H2,Product,M18,Director,2024-06-29,5.0,Medium,Consistent Star,2.81,2.85,3.05,3.56,2.99,3.05,False,False,Needs Improvement,0.84,2.63,77
E1040,2023-H1,Sales,M4,IC3,2023-01-01,2.71,High,Underperformer,3.3,3.35,4.01,3.05,3.14,3.85,True,False,Needs Improvement,0.87,,60
E1040,2023-H2,Sales,M4,Director,2023-06-30,4.5,Medium,Underperformer,3.73,3.57,3.79,3.37,3.36,2.44,False,False,Exceeds,0.88,3.65,60
E1040,2024-H1,Sales,M4,IC2,2024-01-01,4.04,Medium,Consistent Star,2.09,3.48,3.07,4.25,3.81,3.64,True,True,Needs Improvement,0.69,,60
E1040,2024-H2,Sales,M4,Manager,2024-06-29,3.78,Low,High Potential,3.04,3.45,3.21,4.63,4.23,4.14,False,False,Meets,0.53,4.1,60
E1041,2023-H1,Finance,M24,Manager,2023-01-01,3.63,High,Underperformer,4.11,3.66,3.5,3.62,2.6,3.04,False,False,Needs Improvement,0.81,4.3,44
